School,Top 25 Footbball,Top 25 Basketball, Revenue ,Conference,Sacount,MaleSACount,FemaleSAcount,SABMgradRate,SAHMgradRate,SAWMgradRate,SABWgradRate,SAHWgradRate,SAWWgradWate,SBCount,MaleCount,FemaleCount,SBBMgradRate,SBHMgradRate,SBWMgradRate,SBBWgradRate,SBHWgradRate,SBWWgradWate
ID75,No,N,40758582,Non-power 5,230,93,137,53,67,67,43,64,70,14139,6279,7860,42,45,46,51,55,58
ID76,No,N,39644248,Non-power 5,343,182,161,65,100,74,75,100,85,13957,6458,7499,63,68,78,75,74,82
ID77,No,N,38492604,Non-power 5,304,170,134,50,75,57,73,100,83,13438,6518,6920,31,48,51,41,52,60
ID78,No,N,37996512,Non-power 5,303,178,125,56,67,60,62,100,69,11286,5285,6001,52,66,67,74,76,77
ID79,No,N,37834341,Non-power 5,258,137,121,54,20,65,59,69,79,15812,6407,9405,43,43,50,55,54,61
ID80,No,N,37194485,Non-power 5,297,158,139,50,25,60,75,0,78,13912,7244,6668,15,29,44,20,42,51
ID81,No,N,37018133,Non-power 5,271,133,138,58,52,30,75,74,61,13976,6395,7581,35,51,42,49,66,55
ID82,No,N,36494381,Non-power 5,227,115,112,57,50,60,77,100,78,5850,2583,3267,41,41,48,53,67,59
ID83,No,N,36297004,Non-power 5,241,135,106,52,45,63,58,71,63,10908,5089,5819,43,46,43,56,54,53
ID84,No,N,35834204,Non-power 5,225,116,109,67,0,68,61,75,60,14330,6935,7395,35,40,40,45,57,50
ID85,No,N,35560555,Non-power 5,273,129,144,50,100,72,92,,78,15516,7587,7929,16,35,49,19,35,54
ID86,No,N,35550592,Non-power 5,238,125,113,64,100,62,39,50,71,6548,2993,3555,25,35,43,32,40,49
ID87,No,N,35546650,Non-power 5,191,75,116,65,50,64,70,,79,11182,4833,6349,53,49,44,59,59,56
ID88,No,N,34942574,Non-power 5,308,171,137,53,50,60,72,,78,11719,5223,6496,39,48,53,51,51,64
ID89,No,N,34763420,Non-power 5,311,156,155,48,100,71,56,100,87,367,200,167,50,100,71,56,100,87
ID90,No,N,33657739,Non-power 5,282,144,138,52,67,64,74,46,61,19025,9772,9253,31,31,28,45,39,33
ID91,No,N,33525272,Non-power 5,231,127,104,47,67,59,50,75,79,6686,3053,3633,26,32,33,31,40,47
ID92,No,N,33481654,Non-power 5,177,82,95,41,44,50,75,69,54,9456,4654,4802,18,34,39,33,43,45
ID93,No,N,32905904,Non-power 5,284,151,133,50,44,64,72,100,79,7361,3232,4129,38,39,43,40,52,49
ID94,No,N,32787377,Non-power 5,267,104,163,65,42,64,43,63,68,17191,8392,8799,38,44,56,48,54,66
ID95,No,N,32544966,Non-power 5,270,148,122,52,0,57,67,100,60,10963,4842,6121,30,41,44,39,44,53
ID96,No,N,32334739,Non-power 5,218,98,120,57,,68,84,100,64,6642,2756,3886,20,44,39,28,50,50
ID97,No,N,30878069,Non-power 5,307,154,153,39,0,58,44,,80,8436,3461,4975,19,29,45,25,45,52
ID98,No,N,30770123,Non-power 5,298,168,130,48,67,64,78,100,76,10154,4290,5864,27,40,48,34,51,57
ID99,No,N,29483912,Non-power 5,293,159,134,57,50,49,69,,69,13707,7104,6603,41,37,46,59,48,59
ID100,No,N,29460111,Non-power 5,300,165,135,58,100,63,77,,78,15826,6167,9659,36,45,51,44,50,61
ID101,No,N,28057388,Non-power 5,281,168,113,51,57,54,61,70,89,11043,5444,5599,25,38,54,32,45,62
ID102,No,N,28010801,Non-power 5,246,82,164,50,50,50,68,69,68,9048,4202,4846,30,38,46,37,44,56
ID103,No,N,27678480,Non-power 5,319,145,174,55,75,72,47,88,83,15159,6129,9030,46,46,59,52,54,65
ID104,No,N,26001184,Non-power 5,318,166,152,72,50,75,76,50,81,13878,6093,7785,36,40,52,43,49,63
ID105,No,N,25687189,Non-power 5,224,121,103,56,25,61,61,100,70,6378,2292,4086,30,52,49,38,46,62
ID106,No,N,24948474,Non-power 5,242,127,115,50,0,52,52,67,75,5810,3333,2477,34,39,52,47,64,63
ID107,No,N,19200033,Non-power 5,186,85,101,26,0,64,50,67,73,6699,3499,3200,24,41,55,29,52,62
ID108,No,N,15568952,Non-power 5,244,119,125,59,0,63,50,40,51,4737,1704,3033,35,33,40,34,43,47
